external_id,name,brand,category,description,model_number,manufacturer
HS-P-CABIN,Harbor Cabin 12,Harbor Sound,headphones,Travel over-ears for long-haul flights.,CAB-12,Harbor Sound Co.
HS-P-COMMUTE,Harbor Commute 08,Harbor Sound,headphones,Daily commute wireless ANC.,COM-08,Harbor Sound Co.
HS-P-FOLD,Harbor Fold 09,Harbor Sound,headphones,Foldable cabin headphones.,FLD-09,Harbor Sound Co.
HS-P-LITE,Harbor Lite 04,Harbor Sound,headphones,Entry wireless headphones.,LIT-04,Harbor Sound Co.
HS-P-SPORT,Harbor Sport 06,Harbor Sound,headphones,Sweat-resistant sport headphones.,SPT-06,Harbor Sound Co.
HS-P-STUDIO,Harbor Studio 20,Harbor Sound,headphones,Studio monitoring headphones.,STD-20,Harbor Sound Co.
HS-P-ULTRA,Harbor Ultra 15,Harbor Sound,headphones,Premium travel flagship.,ULT-15,Harbor Sound Co.
HS-P-MINI,Harbor Mini 03,Harbor Sound,headphones,Compact on-ear headphones.,MIN-03,Harbor Sound Co.
HS-P-SHIFT,Harbor Shift 11,Harbor Sound,headphones,Balanced midrange wireless.,SFT-11,Harbor Sound Co.
HS-P-REF,Harbor Reference 18,Harbor Sound,headphones,Reference listening headphones.,REF-18,Harbor Sound Co.
HS-P-RUN,Harbor Run 07,Harbor Sound,headphones,Lightweight running headphones.,RUN-07,Harbor Sound Co.
HS-P-PULSE,Harbor Pulse 10,Harbor Sound,headphones,Everyday wireless ANC.,PUL-10,Harbor Sound Co.
HS-P-NIGHT,Harbor Night 14,Harbor Sound,headphones,Quiet-cabin travel pair.,NGT-14,Harbor Sound Co.
HS-P-DECK,Harbor Deck 05,Harbor Sound,headphones,Office and desk headphones.,DCK-05,Harbor Sound Co.
